====================
post_office  |  Shin-Matsudo Post Office
dentist  |  山口歯科医院
fuel  |  キグナス・セルフ
dentist  |  水沢@歯科
restaurant  |  パッパパスタ
restaurant  |  日高屋
restaurant  |  Café Tepui
restaurant  |  炭火焼肉トラジ 新宿店
school  |  佐野市立石塚小学校
restaurant  |  Red Lobster 新松戸店
nightclub  |  Oath
school  |  佐野日本大学中等教育学校
school  |  佐野日本大学高等学校
restaurant  |  ガスト
fast_food  |  らーめんともや
atm  |  アコム
fast_food  |  くるまやラーメン
fuel  |  エネオス
community_centre  |  高麗公民館
clinic  |  岡村記念クリニック
dentist  |  つじ歯科医院
fast_food  |  壱丸家
hospital  |  おか脳神経外科
social_facility  |  清流苑
pharmacy  |  フォーユードラッグ
restaurant  |  むささび亭
veterinary  |  野田動物病院
doctors  |  いわの整形外科
bicycle_parking  |  Eco21
doctors  |  橋本クリニック
restaurant  |  海王
restaurant  |  カレーハウス カシミール
restaurant  |  夢庵
dentist  |  はぐくみ歯科
community_centre  |  大和市コミュニティセンター中央林間会館
restaurant  |  手打ちそば 良庵
kindergarten  |  星の子保育園
community_centre  |  八王子市由井市民センター
community_centre  |  こま武蔵台自治会館
community_centre  |  横手台自治会館
doctors  |  近藤内科医院
hospital  |  あさひの丘病院
place_of_worship  |  セブンスデー アドベンチスト横浜英語教会
restaurant  |  さいとう
fast_food  |  らーめん なぶら
clinic  |  吉沢医院
restaurant  |  行田 がんこそば
place_of_worship  |  左馬大明神
cafe  |  喫茶ネグラ
place_of_worship  |  川島久伊豆神社
doctors  |  宮崎眼科
doctors  |  アピタファミリー歯科クリニック
pharmacy  |  アピタ長津田薬局
kindergarten  |  そのべ児童館
kindergarten  |  みどりさくら保育園
restaurant  |  高崎公園亭
restaurant  |  リンガーハット
restaurant  |  Osteria Oliva Nera a TOKYO
restaurant  |  ひものや
kindergarten  |  十日市場 のぞみ保育園
preschool  |  城南コベッツ
restaurant  |  醉心閣
place_of_worship  |  八雲神社
place_of_worship  |  鹿島大神
cafe  |  十一房咖啡店
cafe  |  草枕
cafe  |  Coffee Arabica
cafe  |  タイズ
cafe  |  Ryumon Coffeestand
restaurant  |  赤坂 美登利
restaurant  |  焼肉ジャンボ はなれ
restaurant  |  すし処 宮葉
cafe  |  丸山咖啡 西麻布店
cafe  |  ヴェルデ
cafe  |  フィオレット
restaurant  |  ジュジュハット
fast_food  |  キッチンオリジン
restaurant  |  まぐろ人
fast_food  |  マクドナルド
cafe  |  Mister Donut
fast_food  |  がってん寿司
fast_food  |  ケンタッキーフライドチキン
pub  |  和民
fast_food  |  松屋
cafe  |  C'EST BIEN
pub  |  養老乃瀧
pub  |  BONDS
photo_studio  |  スタジオネロ
bar  |  スナック・ローズ
community_centre  |  十日市場町自治会館
kindergarten  |  グローバルキッズ十日市場園
fast_food  |  モスバーガー
car_rental  |  ニッポンレンタカー
cafe  |  スターバックス
townhall  |  緑区地域 子育て支援拠点 いっぽ
restaurant  |  太陽のトマト麺
pharmacy  |  さつき薬局
doctors  |  さつきが丘子供クリニック
parking  |  Hanyu PA
place_of_worship  |  妙行寺
cafe  |  珈琲問屋
place_of_worship  |  稲著社
place_of_worship  |  南大塚 菅原神社
place_of_worship  |  丸山大神宮
cafe  |  へツケルン
pub  |  鳥貴族
atm  |  群馬銀行
restaurant  |  剛力
fuel  |  コスモ石油
parking  |  Hanyu PA
place_of_worship  |  Daishin-ji
bar  |  Bar flat
bar  |  Bae CANDY Shinjuku
bar  |  Wall Street House
bar  |  R 2 Supperclub
bar  |  Geronimo Shot Bar
nightclub  |  Gaspanic
bar  |  Hub Roppongi
bar  |  Ginza 300BAR 5-chome
nightclub  |  Mist
bar  |  Sake In Ebisu
place_of_worship  |  龍神社
restaurant  |  ガスト
restaurant  |  しゃぶ葉 西船橋店
fast_food  |  すき家 西船橋店
hospital  |  にれの木クリニック
restaurant  |  Rue de Varenne
cafe  |  コーヒーロースト
restaurant  |  花みずき
restaurant  |  大阪王将
bar  |  スナック　ぷらっと
pub  |  とん松
bar  |  スナック　静香
doctors  |  飛田給内科クリニック
restaurant  |  大勝軒
pub  |  てぃーだかんかん
pharmacy  |  サンドラッグ
dentist  |  まゆみ歯科
cafe  |  ふうの木
doctors  |  緒方医院
pub  |  Hub
restaurant  |  あずま
prep_school  |  神子学院
pub  |  圧や
community_centre  |  武蔵中山台自治会館
vending_machine  |  vending machine
pub  |  ぎょうざ屋
doctors  |  榎本内科クリニック
restaurant  |  いっぷく
fast_food  |  えどこま
fast_food  |  極旨じゅん屋
restaurant  |  魚亥子
fast_food  |  長陽
restaurant  |  台湾料理龍香毛呂山店
restaurant  |  すき家小田谷店
place_of_worship  |  出雲伊波比神社
restaurant  |  びっくりドンキー 八千代緑が丘店
restaurant  |  すたみな太郎 八千代緑が丘店
restaurant  |  つぼ八 八千代緑が丘店 日本
restaurant  |  銀だこ八千代ドライブスルー店
restaurant  |  餃子の王将 八千代店
cafe  |  串焼き鶏豚
restaurant  |  うどんまるたか
restaurant  |  東寿し
cafe  |  珈琲ゴロー
music_school  |  ホームスタジオルンルン&ボブ
atm  |  さいしん、りそな
doctors  |  毛呂山整形外科内科
restaurant  |  夢庵
doctors  |  街かどのクリニック
doctors  |  おっぺクリニック（小児科・内科）
taxi  |  武州長瀬駅南口タクシー乗り場
prep_school  |  アイテックパソコンスクール
vending_machine  |  各種飲料、他
hospital  |  武蔵台病院
doctors  |  柴崎皮膚科医院
restaurant  |  西洋料理 島
restaurant  |  Kani Douraku Shinjuki eki mae
restaurant  |  Coco Curry
doctors  |  かじわら田奈駅前こどもクリニック
veterinary  |  さかい犬猫クリニック
cafe  |  カフェ＆バー いつものところ
prep_school  |  ナビ個別指導学院
bar  |  Dolphin
bar  |  フィリピンパブPEGASUS
bar  |  Ageha
pub  |  ゑびす
bar  |  歩歩歩
fast_food  |  モスバーガー
doctors  |  佐瀬病院 検査・リハビリ棟
toilets  |  公衆トイレ
restaurant  |  酒菜蕎麦 初代
restaurant  |  酒菜蕎麦 初代
doctors  |  初野医院（内科）
dentist  |  大岩歯科医院
restaurant  |  こんどう
cinema  |  Toho Cinemas Roppongi
dentist  |  毛呂山歯科
restaurant  |  久兵衛
cafe  |  喫茶ガーデン
restaurant  |  日本亭
restaurant  |  ジョナサン
cafe  |  Cafe foredor
pub  |  串焼 どんどん 別館
bar  |  EN
cafe  |  MAX BRENNER CHOCOLATE BAR
pub  |  味覚
restaurant  |  隠まぐれ
pharmacy  |  マツモトキヨシ
pharmacy  |  オーベル薬局
pub  |  玉海力
fast_food  |  マクドナルド
bicycle_parking  |  市営無料自転車駐車場
restaurant  |  道の市場
pub  |  居酒屋いつこ
cafe  |  Cafe Luonto
fast_food  |  KFC
fast_food  |  マクドナルド
restaurant  |  牛角ビュッフェ
restaurant  |  Chand Star
pharmacy  |  日本調剤薬局
cafe  |  TULLY'S COFFEE
fast_food  |  マクドナルド
school  |  横浜国立大学附属鎌倉小学校
school  |  横浜国立大学附属鎌倉中学校
restaurant  |  フォンテーヌ
place_of_worship  |  桂木寺
restaurant  |  Ikinari Steak
cafe  |  荻野氏宅
atm  |  りそなATM
atm  |  東和銀行ATM
place_of_worship  |  吉田神社
restaurant  |  手打ちそば匠庵
pharmacy  |  トマト薬局
restaurant  |  ホテルオークラレストラン ゆりの木
pub  |  OKINAWA居酒屋おばぁや
pub  |  囲酒人（いーざと）
pharmacy  |  こま薬局
cafe  |  Tajimaya Coffee
restaurant  |  ラーメン一蘭
cafe  |  星野珈琲
restaurant  |  さざんか
fast_food  |  ピザーラ 佐倉店
pub  |  あだち
restaurant  |  Italian Restaurant
hospital  |  JR東京総合病院
nightclub  |  卑弥呼
restaurant  |  久兵衛屋
restaurant  |  Cafe de Meissen
kindergarten  |  Kids Duo International 池上
restaurant  |  築地銀だこ
restaurant  |  うどん店
community_centre  |  長津田地区センター
pharmacy  |  クスリのアオキ
restaurant  |  かつはな亭
pharmacy  |  トモズ
pub  |  つくし坊
doctors  |  かどわき腎泌尿器・内科クリニック
dentist  |  小川デンタルクリニック
pub  |  さかえ
place_of_worship  |  大石稲荷社
prep_school  |  愛夢アカデミー
bar  |  くつろぎ処 九州女
bar  |  リメンバー
townhall  |  佐倉商工会議所
doctors  |  つくし野駅前クリニック
restaurant  |  らーめん髙下
atm  |  りそなクイックロビー
pub  |  味彩
restaurant  |  いちばん
pub  |  風や
pub  |  コボルバ
pharmacy  |  HAC
doctors  |  島津メディカルクリニック
dentist  |  レガロ歯科クリニック
restaurant  |  Sushidokoro Amami
restaurant  |  すし 乃池
bar  |  カラオケ 舞
restaurant  |  うなよし
cafe  |  ル・コルニュイエ
pharmacy  |  ふたば調剤薬局
cafe  |  カフェ ラ メール
bar  |  Tapps' Cafe
dentist  |  木目田歯科医院
parking  |  三井のリパーク鎌倉小町3丁目
restaurant  |  コヒノール
doctors  |  つくし野クリニック
community_centre  |  御前田西自治会館
restaurant  |  上州屋
dentist  |  ささき歯科医院
restaurant  |  Dining 旨荘
preschool  |  秀学ゼミナール
restaurant  |  Lotus-B
preschool  |  J-STUDIO
dentist  |  松永デンタルクリニック
restaurant  |  えん
school  |  東京ワールド日本語学校
pharmacy  |  大山薬品
parking  |  エイブルパーキング
toilets  |  石畑公園下 公衆トイレ
fast_food  |  マクドナルド
clinic  |  柴田メディカルクリニック
dentist  |  山崎歯科
clinic  |  おぎくぼ正クリニック
pharmacy  |  UNIVERSAL DRUG
veterinary  |  桃井ロコ動物病院
dentist  |  おまた歯科医院
place_of_worship  |  薬王院
cafe  |  ナナロクカフェ
restaurant  |  けんけん
cafe  |  みつばち
restaurant  |  桃蕎庵 こばやし
dentist  |  山口歯科医院
cafe  |  公孫樹
social_facility  |  デイサービス太陽 スポーツ館
doctors  |  奴田原医院
fuel  |  ゼネラル
car_sharing  |  Times Car PLUS
dentist  |  カワイ歯科
doctors  |  河合内科
restaurant  |  POCO
social_facility  |  介護付有料老人ホーム もえぎ野の杜
restaurant  |  甲羅
fuel  |  昭和シェル
doctors  |  大沢医院
doctors  |  本多眼科医院
doctors  |  わかばやし耳鼻咽喉科クリニック
social_facility  |  グループホーム 花物語ふじがおか
doctors  |  松崎医院
restaurant  |  そば処 春日
cafe  |  1＋2
cafe  |  アスタリスク
cafe  |  cafeひこばえ
car_wash  |  パーソナルカークリーン
bench  |  おやすみ処
bank  |  東京都民銀行
fast_food  |  百歩ラーメン
fast_food  |  松屋
restaurant  |  横浜家系ラーメン 石川家
cafe  |  シバケン
dentist  |  埼京歯科
dentist  |  サクラ歯科
veterinary  |  馬場動物病院
community_centre  |  たちばな台まちなかクラブ
parking  |  タイムズ
restaurant  |  砂場
bar  |  ハイブリッチ
restaurant  |  福の家
restaurant  |  焼き鳥 仙川
theatre  |  EX THEATER ROPPONGI
social_facility  |  南部すこやか福祉センター
community_centre  |  桂台二丁目自治会館
restaurant  |  Tsukiji Tamasushi
restaurant  |  Bohemia cafe (hookah)
bar  |  Hub
place_of_worship  |  鼓楽神社
doctors  |  整骨院
restaurant  |  くぼた
community_centre  |  小平市民総合体育館
place_of_worship  |  安楽寺
place_of_worship  |  太田神社
pharmacy  |  トマト薬局
restaurant  |  大戸屋
restaurant  |  磯丸水產
place_of_worship  |  豊山派光照寺
restaurant  |  日高屋
bar  |  bar slow
bar  |  bar mols
school  |  En Dance Studio
bar  |  Irish pub solas
cafe  |  347 cafe
pub  |  杉玉
pharmacy  |  ゆうぎ園薬局
pub  |  とり成
pub  |  がいや
pub  |  友ちゃん
pub  |  かきんちゅ
restaurant  |  たなか
restaurant  |  海鮮食楽部
restaurant  |  幸寿司
pub  |  御座敷処
pub  |  とりい
restaurant  |  笹寿司
fast_food  |  WASHIN TOKYO
pub  |  えんがわ
pub  |  ダオタイ
doctors  |  宮崎耳鼻咽喉科
doctors  |  香取内科クリニック
pub  |  だれやめや
cafe  |  ラポム
dentist  |  みついけ歯科クリニック
pub  |  Hop-Scotch Tokyo
place_of_worship  |  熊野神社
restaurant  |  NEXT
place_of_worship  |  熱田神社
restaurant  |  Tomato Ramen
car_rental  |  ニコニコレンタカー
cafe  |  Link Cafe Aoyama
cafe  |  Dean & Deluca
post_box  |  ポスト
restaurant  |  とんかつ「しょうざん」
pharmacy  |  ハックドラッグ 葉山一色店
dentist  |  さくら歯科
bar  |  ひより食堂
bar  |  和か菜（そば屋）
fuel  |  エッソ
fuel  |  ENEOS
fuel  |  ENEOS
fuel  |  コスモ石油
fuel  |  ENEOS
fuel  |  昭和シェル
restaurant  |  Palermo Pasta&Pizza
fuel  |  ENEOS
fuel  |  ENEOS
fuel  |  出光
fuel  |  ゼネラル
fuel  |  ENEOS
fuel  |  昭和シェル
fuel  |  コスモ石油
fuel  |  昭和シェル
fuel  |  ゼネラル
restaurant  |  Teyandai Izakaya
restaurant  |  いーすと ぐれーしゃー
place_of_worship  |  宇都宮神社
community_centre  |  桂台二丁目中自治会会館
dentist  |  げんかい歯科医院
veterinary  |  こどもの国動物病院
preschool  |  青葉セミナー
pharmacy  |  薬局アキファーマシー
cafe  |  おぐに
dentist  |  井口デンタルクリニック
restaurant  |  船橋屋
cinema  |  シネマカリテ
cafe  |  ルノアール
cinema  |  新宿武蔵野館
pharmacy  |  マツモトキヨシ
love_hotel  |  Queens Town
love_hotel  |  現代楽園
fuel  |  町田オートスタンド
dentist  |  南町田ファミリー歯科
parking  |  小野路公園駐車場
fuel  |  ENEOS
restaurant  |  タベルナ ヴァッカ クワットロ
community_centre  |  井戸久保自治会館
restaurant  |  ダージリン
nightclub  |  The Greenhouse
bank  |  足立成和信用金庫
restaurant  |  ジョナサン
restaurant  |  Domanaka
restaurant  |  Domanaka - Sushi Sashimi
cafe  |  スターバックス
doctors  |  とものこどもクリニック
dentist  |  長谷川歯科
pub  |  山屋キッチン
restaurant  |  新や
atm  |  みずほ銀行
restaurant  |  南イタリア料理　Trattoria Granduca
pub  |  どんや宝
restaurant  |  相模屋
parking  |  COIN PARK
pub  |  炭火焼肉　ホルモン　お華
bar  |  ISEYA
restaurant  |  北京楼
pharmacy  |  田中薬局
doctors  |  神人整形外科クリニック
restaurant  |  出嶋屋本店
gambling  |  麻雀六丁目
cafe  |  珈琲の店　コーリン
parking  |  J.PARK
pub  |  ビール居酒屋　ウラカンラナ
gambling  |  まーじゃんかふぇ　you's
bar  |  Shinjuku Beer Hall
bar  |  Sheyda Bar Hookah
bar  |  Propaganda shot bar
community_centre  |  すみよし台・宮ケ谷 自治会館
community_centre  |  さつきが丘 コミュニティハウス
parking  |  秩父華厳の滝 無料駐車場
cafe  |  天空の学校
place_of_worship  |  ＪＡ葬祭
bar  |  KJ winery
gambling  |  麻雀ミラクル
gambling  |  WAVE
pharmacy  |  薬樹薬局
restaurant  |  山東菜館　今人
restaurant  |  錦珍楼
bar  |  MERISA Kebab & Bar
dentist  |  入江歯科医院
restaurant  |  熱血らーめん
restaurant  |  レストラン　コトブキ
cafe  |  poem
pub  |  七輪焼肉　安安
pharmacy  |  漢方相談　すみれ薬局
cafe  |  ATOM
restaurant  |  新潟らーめん　がんこ屋
restaurant  |  うどん工房 桃一
doctors  |  稲村眼科クリニック
pharmacy  |  ひまわり薬局
veterinary  |  くりお動物病院
atm  |  横浜銀行ATM
dojo  |  気道
restaurant  |  やよい軒
restaurant  |  とんかつ　天丼　いそご
restaurant  |  じゃのめや
pub  |  かめや
restaurant  |  横浜家系ラーメン　大館家
restaurant  |  Cafeレストラン　ガスト
pharmacy  |  諸貫薬局
restaurant  |  HEIROKU SUSHI
pub  |  ばんぶー
pub  |  大衆酒場　わらい
cafe  |  coffee shop よんちょうめ
theatre  |  CROSS STREET
pharmacy  |  ヒグチ
pharmacy  |  MMドラッグ
karaoke_box  |  SHIDAX
fast_food  |  吉野家
cafe  |  SWEET SEASON
restaurant  |  備長七輪焼肉　牛蔵
gambling  |  リーチ麻雀　ドルフィン
fast_food  |  ORIGIN
fast_food  |  築地　銀だこ
cafe  |  HOLLY'S cafe
gambling  |  super Hollywood
restaurant  |  讃岐うどん　てんこつ
fast_food  |  マクドナルド
restaurant  |  横浜家系ラーメン　大館家　伊勢佐木家
dentist  |  さくま歯科
restaurant  |  海鮮　火鍋　菜館　杜記
restaurant  |  ピヤダ
pub  |  めりけんはとば
internet_cafe  |  漫画喫茶　DARTSLIVE2
restaurant  |  広島お好み焼き　新風亭
restaurant  |  龍鳳
pub  |  焼肉 安楽亭
gambling  |  リーチ麻雀　ちょんぼくん
pub  |  やきとり　ばんきち
karaoke_box  |  カラオケ歌広場
internet_cafe  |  ネットカフェ＆ダーツ　DICE
restaurant  |  闘牛家
pub  |  あじと
restaurant  |  油そば専門店　ぶらぶら
cafe  |  Zz's & Babar's
restaurant  |  mollie's
pub  |  御圓屋
pub  |  居酒屋　路
restaurant  |  十八番
bar  |  スナック　天天笑
restaurant  |  ヨコハマ　アジアンダイニング＆バー
restaurant  |  お好み焼き　浜銀
pub  |  お肉とワイン　grill garden
restaurant  |  シャム
doctors  |  よしだ形成外科クリニック
doctors  |  古川耳鼻咽喉科医院
restaurant  |  インムアロイ
doctors  |  廣瀬内科医院
restaurant  |  らあめん　醤和
pharmacy  |  みなと薬局
restaurant  |  焼肉ホルモン　兆伊
restaurant  |  ハングリーピッグ
restaurant  |  そうる肉食堂　承
bar  |  ℃℃ya
brothel  |  小悪魔
restaurant  |  星海湾
pub  |  Sherkle
pub  |  串の市
cafe  |  Mon cheri
internet_cafe  |  GRAN CUSTOMA
restaurant  |  らあめん　たまがった
fast_food  |  助六寿司
pub  |  ちゃぶ
restaurant  |  中華つけ麺　大王
pub  |  日の出酒場
restaurant  |  カレーを喰らえ
internet_cafe  |  ネットルーム
bank  |  ハナ信用組合
bank  |  湘南しんきん
karaoke_box  |  Ten
pub  |  火炉房
pub  |  酒処　雅
pub  |  アネーロ
community_centre  |  末吉町1・2丁目　町内会館
pub  |  ションケオ
restaurant  |  太田なわのれん
pub  |  乃きく
bar  |  スナック　あかり
parking  |  三井のリパーク
restaurant  |  洗濯船
doctors  |  小笹医院
pharmacy  |  慶寿薬局
pub  |  木の実
pub  |  呑みどころ たくみ
cafe  |  いちからかふぇ
school  |  Tokyo Asia
community_centre  |  鴨志田コミュニティハウス
place_of_worship  |  榊稲荷
restaurant  |  蟹谷
restaurant  |  FUKU Yakitori
community_centre  |  田奈自治会館
bar  |  Jazz & Bar FIRST
restaurant  |  そば処 ふくろう
bar  |  Kanshoku Bal Surakkan
restaurant  |  焼肉　ぶん福
doctors  |  郷整形外科
cafe  |  アイビー
bar  |  SNACK やまびこ
doctors  |  石橋泌尿器科皮フ科クリニック
kindergarten  |  わらべうた日ノ出町保育園
restaurant  |  B級グルメ　もも
bar  |  ゲイ　スナック　CoCo66
love_hotel  |  HOTEL Tougen
place_of_worship  |  カトリック末吉町教会
parking  |  Coin Park
restaurant  |  浜優食堂
bar  |  スナック　圭
restaurant  |  J's store
bar  |  Abracadabra
pub  |  台湾風居酒屋　澄
pub  |  とまり木
pub  |  たちんぼ
pub  |  ポン吉
place_of_worship  |  東峰神社
parking  |  空港サイドパーキング
parking  |  ミッキーパーキング
parking  |  成田駐車場サービス
parking  |  アロハパーキング
car_rental  |  トーヨーレンタカー成田空港店
car_rental  |  ワンズレンタカー成田空港店
car_rental  |  タイムズカーレンタル成田空港店
parking  |  成田空港駐車場タニカワパーキング
community_centre  |  みたけ台コミュニティハウス
restaurant  |  poulet frit
social_facility  |  万葉のさと(デイサービス)
social_facility  |  ネクサスコート青葉台
restaurant  |  WoodStock
pharmacy  |  アドバン薬局
doctors  |  ふじた内科こども医院
doctors  |  たざわ耳鼻咽喉科クリニック
dentist  |  浅沼歯科医院
doctors  |  いわい整形外科・ペインクリニック
fast_food  |  hasamu
restaurant  |  ドラゴ
restaurant  |  アルベロ
restaurant  |  でかべこ
karaoke  |  パブ・ムーンライト
restaurant  |  TGI Fridays
restaurant  |  浅草 牛かつ
library  |  町田市立忠生図書館
toilets  |  屋外トイレ
restaurant  |  Towers
restaurant  |  ディープカレーハウス
place_of_worship  |  鹿谷戸稲荷社
dentist  |  藤が丘スピカデンタルケアクリニック
restaurant  |  田乃中
doctors  |  はなわ小児科内科クリニック
childcare  |  ぽれぽれ保育園
restaurant  |  いくどん
restaurant  |  手打ち蕎麦 蕎林(きょうりん)
doctors  |  おおぎや整形外科
restaurant  |  びすとろ 和芯
pharmacy  |  薬樹薬局藤が丘
doctors  |  ゆうきクリニック
restaurant  |  ちんちくりん
community_centre  |  柿の木台町内会館
fuel  |  エッソ本庄児玉八幡山SS
restaurant  |  神川ラーメン
restaurant  |  ラカーブ５５
preschool  |  ホープ伸学院
restaurant  |  Ceyhan
bar  |  Splash Shotbar
pharmacy  |  薬樹薬局
fuel  |  Eneos
clock  |  からくり時計
restaurant  |  青蓮
doctors  |  松信レディースクリニック
restaurant  |  ラーメン大桜
cafe  |  マグ
place_of_worship  |  カトリック藤が丘教会
pharmacy  |  ニッセイ薬局
veterinary  |  もえぎの動物病院
doctors  |  すずき眼科クリニック
school  |  ヤマハ音楽教室
preschool  |  高校受験Step
dentist  |  野口歯科医院
school  |  ハローパソコン教室
restaurant  |  松葉寿司
social_facility  |  レッツ倶楽部
doctors  |  荻原医院
dentist  |  千草台歯科医院
dentist  |  内木歯科医院
place_of_worship  |  日本福音ルーテル 藤が丘教会
school  |  ヒルズキッズ
cafe  |  コトリエ
restaurant  |  松鈴
restaurant  |  珍来
restaurant  |  coco 壱番屋
pub  |  はなの舞
fuel  |  エネオス
place_of_worship  |  釜山神社
bank  |  三島信用金庫
fast_food  |  坂井精肉店 松戸元山店
hospital  |  Olive Dental Clinic
bus_station  |  ミニSL前
fuel  |  エッソ
school  |  Coto Language Academy
restaurant  |  ガスト開成町店
restaurant  |  ジョリーパスタ
restaurant  |  バーミヤン神奈川開成町店
cafe  |  Owl Cafe and Village
place_of_worship  |  北ヶ谷戸弁天社
clock  |  日時計
cafe  |  スターバックス
place_of_worship  |  神明社
restaurant  |  スエヒロ
cafe  |  星乃珈琲
pharmacy  |  田辺薬局
doctors  |  渡辺医院
toilets  |  誰でもトイレ
doctors  |  林内科医院
pharmacy  |  綾部薬局
dentist  |  金子歯科医院
restaurant  |  ラー麺 鎌倉家
restaurant  |  シェフ３
dentist  |  がくえん歯科
doctors  |  おかクリニック
bank  |  沼津信用金庫
fuel  |  ENEOS
place_of_worship  |  白幡観音
fuel  |  ENEOS
fuel  |  モービル
restaurant  |  大野屋
restaurant  |  お好み焼き 道
restaurant  |  太海
restaurant  |  かつ亭
restaurant  |  楓神
fast_food  |  すき家
parking  |  霧香峠
restaurant  |  potassa
bar  |  épilogue pub
restaurant  |  mad burger
community_centre  |  下長津田自治会館
fire_station  |  緑消防団 第四分団四班
restaurant  |  LA VERDE
hospital  |  佐倉整形外科
atm  |  ゆうちょ銀行
hospital  |  神野眼科医院
restaurant  |  ０円餃子
cafe  |  OSOZAI+CAFE美濃味匠
school  |  臨海セミナー
bar  |  YAMACHO
restaurant  |  や台ずし
dentist  |  井上歯科医院
pharmacy  |  薬匠・しらい薬局
bar  |  笑笑
cafe  |  中村屋
doctors  |  もとみや内科クリニック
bank  |  城南信用金庫
dentist  |  あのたに歯科医院
doctors  |  三松眼科医院
parking  |  職員用駐車場
doctors  |  村越メディカルクリニック
bar  |  スナックEmi
restaurant  |  麺屋 翔 本店
public_bath  |  仙川 湯けむりの里
fuel  |  モービル GS
community_centre  |  勤労青少年ホーム
clinic  |  上井医院
pharmacy  |  ウエサカ薬局
restaurant  |  彩々楽
bank  |  武蔵野銀行蓮田支店
dentist  |  岩崎歯科医院
dentist  |  ふるた歯科
fast_food  |  タコ匠
fast_food  |  ドミノ・ピザ王禅寺西店
fast_food  |  濱ランチ
pharmacy  |  ファーマライズ薬局
cafe  |  柿沼珈琲
doctors  |  ジャスミン皮膚科クリニック
bicycle_parking  |  エコステーション21
internet_cafe  |  ゲラゲラ
restaurant  |  Genko sushi
restaurant  |  安楽亭
restaurant  |  大阪王将
restaurant  |  みちのく
kindergarten  |  キッズフォレ長津田
pub  |  プエルト
restaurant  |  アジアンダイニングプエルト
dentist  |  ベルデンタルクリニック
dentist  |  ホワイト歯科
restaurant  |  だるま寿し
restaurant  |  中国料理 誠苑
dentist  |  井手歯科医院
restaurant  |  元祖一条流がんこ
car_rental  |  桶川スポーツランド
place_of_worship  |  東照宮
social_facility  |  行田ケアセンターそよ風
parking  |  行田市郷土博物館
restaurant  |  かねつき堂
pharmacy  |  加村薬局
restaurant  |  古沢商店
bank  |  熊谷商工信用組合
dentist  |  大澤歯科医院
restaurant  |  新島苑
social_facility  |  行田ショートステイそよ風
dentist  |  坂詰歯科医院
restaurant  |  香港飯店
cafe  |  日和cafe
dentist  |  半田歯科医院
restaurant  |  蕎麦忠次郎蔵
restaurant  |  行田ゼリーフライ本舗 たかお
arts_centre  |  牧禎舎
restaurant  |  深町フライ店
place_of_worship  |  諏訪神社
restaurant  |  フライの店 寺田
pharmacy  |  ドラッグセイムズ都留店
restaurant  |  焼肉なるみ
bank  |  群馬銀行
fast_food  |  マクドナルド
veterinary  |  長谷川動物病院
restaurant  |  華屋与兵衛
pharmacy  |  あつぎ妻田薬局
cafe  |  JINNAN CAFE
cafe  |  Mr.Friendly Cafe
restaurant  |  食処まるたか
hospital  |  北部診療所
cafe  |  カフェドアルミロ
cafe  |  ドトールコーヒーショップ
restaurant  |  Red Lobster
fast_food  |  なか卯
doctors  |  田園ひかりクリニック
bar  |  Courage
restaurant  |  やきとり みやこ屋
kindergarten  |  やまゆり中山保育園
pub  |  庄や
restaurant  |  麦蔵
pub  |  じなん坊
restaurant  |  串工房四季の味
doctors  |  やまもとクリニック
restaurant  |  ラポルタ
pub  |  魚旬
clinic  |  恵真堂鍼灸整骨院
kindergarten  |  すくすく保育園
kindergarten  |  みどり寺山保育園
kindergarten  |  わらべうた 中山保育園
restaurant  |  牛角
pharmacy  |  神林薬局
restaurant  |  吉草
restaurant  |  やよい軒
car_rental  |  ニッポンレンタカー
school  |  北美代子 バレエ研究所
restaurant  |  古代蓮の里うどん店
shelter  |  休憩所
restaurant  |  Pool side
kindergarten  |  森の台保育園
cafe  |  753Cafe
veterinary  |  なかはた動物病院
restaurant  |  エル.アミーゴ
place_of_worship  |  春日神社
restaurant  |  海月
restaurant  |  拉麺・阿修羅
parking  |  星野河川公園駐車場
pub  |  浜作
restaurant  |  鮮助
dentist  |  たきざわ歯科クリニック
pharmacy  |  野口薬局
cafe  |  カジェ・ベローチェ
fast_food  |  家系らーめん横崎家
studio  |  スタジオ・テイクワン
pub  |  フィリピンパブXOXO
restaurant  |  越後そば川崎店
place_of_worship  |  浄土宗教安寺
restaurant  |  Eggs 'n Things
restaurant  |  Hard Rock Cafe
restaurant  |  Gyokatsu Motomura, Tokyo Station
restaurant  |  デニーズ
restaurant  |  不二家
drinking_water  |  水道
kindergarten  |  ふちのべ美邦保育園
place_of_worship  |  新田稲荷神社
drinking_water  |  水飲み場
bar  |  沖縄バル
clinic  |  久保寺整形外科
pub  |  和風スナック茶茶
restaurant  |  小料理 蝶蝶
bar  |  春蝶
bar  |  屋久島
bar  |  居酒屋 和泉
bar  |  Rosemary
bar  |  鳥貴族
pharmacy  |  ツルハドラッグ
clinic  |  共和接骨院
embassy  |  Advantage Austria Tokyo
embassy  |  駐日オーストリア共和国大使館
restaurant  |  Sukiya
restaurant  |  Kushiage kushitei shinjuku yoyogi
restaurant  |  Sarashina horii azabujuban
restaurant  |  板前寿司 江戸
restaurant  |  Silkream
restaurant  |  Camdens blue star donuts
restaurant  |  Coco ichibanya akasaka
restaurant  |  Toriki
restaurant  |  黒茶屋
place_of_worship  |  道玄霊園
cafe  |  Tully's Coffee
cafe  |  Starbucks (Nagareyama)
